SL,Heat,Virus,Random
8668,49.50180072,1,0.005663394
2964,49.80952381,1,0.00568983
4130,49.43097239,2,0.005712263
9728,49.34413766,1,0.005746109
4771,49.57262905,1,0.005798049
4940,49.6502601,1,0.005845325
2038,49.6182473,2,0.005869641
2905,49.62505002,2,0.005961757
1050,49.49339736,0,0.005965388
8309,49.45698279,0,0.005985155
3747,49.6322529,1,0.005992061
5880,49.65346138,0,0.006113321
5771,49.40536214,0,0.006136321
626,49.61384554,0,0.00615085
5472,49.6102441,0,0.006239167
1031,49.61904762,1,0.006247087
8336,49.58583433,0,0.006289117
8384,49.60984394,0,0.006316633
560,49.494998,0,0.006332382
316,49.32773109,2,0.006348493
2102,49.20008003,2,0.006350064
3470,49.23489396,1,0.006367619
491,49.61864746,0,0.006375331
7451,49.40256102,2,0.006379815
1393,49.79551821,1,0.006410789
1345,49.64145658,2,0.006490378
7570,49.38215286,0,0.006511496
5778,49.6002401,2,0.006518988
4953,49.60744298,2,0.006531144
5503,49.48339336,2,0.006593581
9111,49.57583033,2,0.006627051
3863,49.5982393,1,0.006717132
2515,49.45258103,0,0.006740166
9545,49.64945978,1,0.006791974
2853,49.42456983,2,0.006833744
132,49.58543417,2,0.006848777
2911,49.72989196,1,0.00687565
8543,49.69627851,0,0.006882964
7090,49.68987595,2,0.006885595
76,49.77911164,2,0.006888688
9886,49.63105242,2,0.00699563
4670,49.46578631,1,0.00703742
9505,49.65066026,2,0.007065791
1892,49.43297319,1,0.007096204
8364,49.40216086,0,0.007097087
1504,49.62585034,1,0.007165711
3833,49.77470988,0,0.007176881
8666,49.25770308,2,0.007198255
3644,49.56982793,2,0.007214259
2817,49.52340936,1,0.007214714
9355,49.47418968,1,0.00723005
8728,49.55862345,1,0.007288468
2166,49.45378151,1,0.00730298
501,49.61464586,2,0.007318268
4889,49.7214886,1,0.007331265
9072,49.50420168,0,0.00738498
2819,49.71508603,0,0.007413918
711,50.00680272,1,0.007431231
3248,49.64185674,2,0.007503869
9783,49.58303321,2,0.007536495
3685,49.60184074,0,0.007553551
6656,49.57022809,0,0.00763488
6753,49.52340936,2,0.007643126
5003,49.67146859,0,0.007659761
1436,49.75110044,1,0.007664278
1128,49.49739896,0,0.007766206
5615,49.57983193,2,0.007780484
9404,49.48219288,1,0.007815628
9737,49.39455782,2,0.007829284
5929,49.75270108,1,0.007859819
3072,49.33533413,0,0.007934687
8865,49.47178872,0,0.007939403
3941,49.59103641,0,0.007949392
4172,49.62585034,0,0.007971491
1882,49.55662265,2,0.007972104
55,49.7214886,2,0.007980331
686,49.35134054,1,0.007986139
6933,49.4769908,2,0.007994165
8975,49.46578631,1,0.008011401
3616,49.22368948,2,0.008094479
7934,49.63185274,1,0.00811917
933,49.55662265,1,0.008126296
2496,49.49379752,1,0.008330655
705,49.73709484,2,0.008396574
4219,49.44457783,1,0.008399092
6225,49.77030812,0,0.008414304
4374,49.52981192,0,0.008416743
8576,49.272509,1,0.00841837
216,48.95998399,2,0.008422413
7032,49.62064826,1,0.008439121
6106,49.59303721,2,0.008463253
247,49.74869948,0,0.008538529
8119,49.43777511,0,0.008670092
4276,49.77270908,0,0.008682615
